fileName,variableName,description,unitText
BroodTables.csv,Stock.ID,NA,NA
BroodTables.csv,Species,NA,NA
BroodTables.csv,Stock,NA,NA
BroodTables.csv,Ocean.Region,NA,NA
BroodTables.csv,Region,NA,NA
BroodTables.csv,Sub.Region,NA,NA
BroodTables.csv,Jurisdiction,NA,NA
BroodTables.csv,Lat,NA,NA
BroodTables.csv,Lon,NA,NA
BroodTables.csv,UseFlag,NA,NA
BroodTables.csv,BroodYear,NA,NA
BroodTables.csv,TotalEscapement,NA,NA
BroodTables.csv,R0.1,NA,NA
BroodTables.csv,R0.2,NA,NA
BroodTables.csv,R0.3,NA,NA
BroodTables.csv,R0.4,NA,NA
BroodTables.csv,R0.5,NA,NA
BroodTables.csv,R1.1,NA,NA
BroodTables.csv,R1.2,NA,NA
BroodTables.csv,R1.3,NA,NA
BroodTables.csv,R1.4,NA,NA
BroodTables.csv,R1.5,NA,NA
BroodTables.csv,R2.1,NA,NA
BroodTables.csv,R2.2,NA,NA
BroodTables.csv,R2.3,NA,NA
BroodTables.csv,R2.4,NA,NA
BroodTables.csv,R3.1,NA,NA
BroodTables.csv,R3.2,NA,NA
BroodTables.csv,R3.3,NA,NA
BroodTables.csv,R3.4,NA,NA
BroodTables.csv,R4.1,NA,NA
BroodTables.csv,R4.2,NA,NA
BroodTables.csv,R4.3,NA,NA
BroodTables.csv,TotalRecruits,NA,NA
SourceInfo.csv,Source.ID,NA,NA
SourceInfo.csv,Source,NA,NA
StockInfo.csv,X1,NA,NA
StockInfo.csv,Stock.ID,NA,NA
StockInfo.csv,Species,NA,NA
StockInfo.csv,Stock,NA,NA
StockInfo.csv,Date.data.obtained,NA,NA
StockInfo.csv,Date.data.incorporated,NA,NA
StockInfo.csv,Ocean.Region,NA,NA
StockInfo.csv,Region,NA,NA
StockInfo.csv,Sub.Region,NA,NA
StockInfo.csv,Jurisdiction,NA,NA
StockInfo.csv,Lat,NA,NA
StockInfo.csv,Lon,NA,NA
StockInfo.csv,Source.ID,NA,NA
StockInfo.csv,Comment,NA,NA
